rank,priority,cluster,ticker,company,bfs_depth,module,current_pool,mcap_bucket,total_score,score_bucket,why_it_matters,primary_questions,sources_to_find,upgrade_conditions,downgrade_conditions,existing_evidence_card,evidence_state,counterevidence
12,P0_us_alpha,test_metrology,TER,Teradyne,D3,Semiconductor ATE,候选池,Large 20-100B,93,core_review,"AI accelerators, HBM, and advanced packaging raise test, probe, and inspection complexity.",Is growth tied to HBM/GPU/advanced packaging rather than broad semi beta? Are orders and margins improving?,10-K/10-Q; earnings release; investor presentation; product/application pages; customer segment commentary.,"Company filings tie revenue/orders to HBM, AI accelerators, advanced packaging, or high-complexity probe/test.","Revenue is broad WFE/test cycle recovery with no AI/HBM mix disclosure, or test time declines.",evidence/us_alpha/012-TER-Teradyne.md,待原文核验: AI tester demand,消费/工业测试周期、测试时间缩短
13,P1_verify,optics_connectivity,SMTC,Semtech,D3,Signal integrity / optical DSP adjacent,雷达/候选池,Mid 5-20B,92,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/us_alpha/013-SMTC-Semtech.md,待原文核验,非AI业务拖累、路线替代
14,P1_verify,optics_connectivity,AAOI,Applied Optoelectronics,D2-D3,Datacom optical modules,候选/雷达池,Mid 5-20B,89,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/us_alpha/014-AAOI-Applied-Optoelectronics.md,待原文核验: customer wins and margins,毛利率、客户集中、价格战、执行风险
15,P1_verify,neocloud_powered_land,CRWV,CoreWeave,D1-D4,NeoCloud / GPU-as-a-Service,候选池,Large 20-100B,86,core_review,NeoCloud and powered land have high upside but must pass credit and utilization tests.,"Are contracts take-or-pay? Is utilization high? Do debt, leases, depreciation, and interest stay manageable?",10-K/20-F/10-Q; S-1 if relevant; debt and lease footnotes; customer contracts; power/site disclosures.,"Backlog converts to cash revenue, utilization is high, customer quality is clear, and leverage is manageable.","Customer concentration, weak contract terms, GPU residual risk, power delays, debt/interest, or negative FCF dominate.",evidence/us_alpha/015-CRWV-CoreWeave.md,原文已证明: backlog/active power线索; contract quality待核验,高杠杆、客户集中、GPU残值、利息/折旧
16,P1_verify,test_metrology,COHU,Cohu,D3,Test handlers / sockets,雷达池,Small/Mid <10B,84,core_review,"AI accelerators, HBM, and advanced packaging raise test, probe, and inspection complexity.",Is growth tied to HBM/GPU/advanced packaging rather than broad semi beta? Are orders and margins improving?,10-K/10-Q; earnings release; investor presentation; product/application pages; customer segment commentary.,"Company filings tie revenue/orders to HBM, AI accelerators, advanced packaging, or high-complexity probe/test.","Revenue is broad WFE/test cycle recovery with no AI/HBM mix disclosure, or test time declines.",evidence/us_alpha/016-COHU-Cohu.md,待原文核验,AI相关性弱/周期性
17,P1_verify,neocloud_powered_land,DOCN,DigitalOcean,D1-D3,SMB cloud / AI cloud services,雷达池,Mid 5-20B,81,core_review,NeoCloud and powered land have high upside but must pass credit and utilization tests.,"Are contracts take-or-pay? Is utilization high? Do debt, leases, depreciation, and interest stay manageable?",10-K/20-F/10-Q; S-1 if relevant; debt and lease footnotes; customer contracts; power/site disclosures.,"Backlog converts to cash revenue, utilization is high, customer quality is clear, and leverage is manageable.","Customer concentration, weak contract terms, GPU residual risk, power delays, debt/interest, or negative FCF dominate.",evidence/us_alpha/017-DOCN-DigitalOcean.md,待原文核验,hyperscaler competition、GPU economics
18,P1_verify,ip_storage_eda,NTAP,NetApp,D3-D4,Enterprise/data center storage,雷达/候选池,Large 20-100B,78,high_priority,"AI ASIC, memory bandwidth, and data pipelines can create value in IP, EDA, and storage layers.","Is the revenue connected to AI chips, HBM/CXL/DDR, enterprise AI storage, or just generic tech spend?",10-K/10-Q; earnings release; investor presentation; product roadmap; customer/design-win commentary.,"Original sources show AI/HPC design wins, royalties, enterprise AI storage demand, or memory-interface pull-through.","Exposure is generic software/storage/EDA beta, customer ROI is weak, or revenue timing is one-off.",evidence/us_alpha/018-NTAP-NetApp.md,待原文核验,AI专用度弱
19,P1_verify,power_thermal,SPXC,SPX Technologies,D3-D4,Cooling/HVAC/electrical niches,雷达/候选池,Mid 5-20B,78,high_priority,AI data centers are constrained by power delivery and heat removal; this bucket tests time-to-power bottlenecks.,How much backlog/revenue is data-center related? Are lead times tight? Does gross margin improve with AI demand?,10-K/10-Q; earnings release; backlog/order disclosures; investor presentation; product pages.,"Backlog, book-to-bill, data center mix, lead time, and margin all improve from AI/DC demand.","Orders are pulled forward, data centers slip, cooling/power products commoditize, or customer pricing pressure rises.",evidence/us_alpha/019-SPXC-SPX-Technologies.md,待原文核验,AI暴露间接
20,P1_verify,neocloud_powered_land,NBIS,Nebius,D1-D4,NeoCloud / AI cloud,候选池,Large/Mid 待刷新,76,high_priority,NeoCloud and powered land have high upside but must pass credit and utilization tests.,"Are contracts take-or-pay? Is utilization high? Do debt, leases, depreciation, and interest stay manageable?",10-K/20-F/10-Q; S-1 if relevant; debt and lease footnotes; customer contracts; power/site disclosures.,"Backlog converts to cash revenue, utilization is high, customer quality is clear, and leverage is manageable.","Customer concentration, weak contract terms, GPU residual risk, power delays, debt/interest, or negative FCF dominate.",evidence/us_alpha/020-NBIS-Nebius.md,待原文核验: revenue/backlog/utilization/debt,融资、客户质量、利用率、GPU残值
21,P1_verify,power_thermal,POWL,Powell Industries,D3-D4,Electrical switchgear,候选池,Mid 5-20B,76,high_priority,AI data centers are constrained by power delivery and heat removal; this bucket tests time-to-power bottlenecks.,How much backlog/revenue is data-center related? Are lead times tight? Does gross margin improve with AI demand?,10-K/10-Q; earnings release; backlog/order disclosures; investor presentation; product pages.,"Backlog, book-to-bill, data center mix, lead time, and margin all improve from AI/DC demand.","Orders are pulled forward, data centers slip, cooling/power products commoditize, or customer pricing pressure rises.",evidence/us_alpha/021-POWL-Powell-Industries.md,待原文核验: DC customer and backlog,周期订单、客户集中、扩产后瓶颈缓解
22,P2_large_cap_context,optics_connectivity,NVDA,NVIDIA,D1,GPU/CUDA + networking + rack-scale systems,核心池,Mega >100B,100,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/batch1/015-NVDA-NVIDIA.md,原文已证明: data center segment strong; 具体客户/平台仍逐项核验,ASIC替代、毛利率下行、客户CapEx放缓、出口管制
23,P2_large_cap_context,power_thermal,VRT,Vertiv,D2,AI data center power/thermal,核心池,Mega >100B,100,core_review,AI data centers are constrained by power delivery and heat removal; this bucket tests time-to-power bottlenecks.,How much backlog/revenue is data-center related? Are lead times tight? Does gross margin improve with AI demand?,10-K/10-Q; earnings release; backlog/order disclosures; investor presentation; product pages.,"Backlog, book-to-bill, data center mix, lead time, and margin all improve from AI/DC demand.","Orders are pulled forward, data centers slip, cooling/power products commoditize, or customer pricing pressure rises.",evidence/batch1/016-VRT-Vertiv.md,待原文核验: data center order/backlog/margins,订单透支、冷却ASP下行、DC延期
24,P2_large_cap_context,optics_connectivity,AVGO,Broadcom,D1-D2,Custom ASIC + networking + CPO,核心池,Mega >100B,99,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/batch1/019-AVGO-Broadcom.md,合理推论+待原文核验: ASIC/CPO客户与收入拆分需公司原文,单客户集中、ASIC项目取消、网络价格竞争
25,P2_large_cap_context,ip_storage_eda,SNPS,Synopsys,D3,EDA/IP,核心beta/候选,Mega >100B,95,core_review,"AI ASIC, memory bandwidth, and data pipelines can create value in IP, EDA, and storage layers.","Is the revenue connected to AI chips, HBM/CXL/DDR, enterprise AI storage, or just generic tech spend?",10-K/10-Q; earnings release; investor presentation; product roadmap; customer/design-win commentary.,"Original sources show AI/HPC design wins, royalties, enterprise AI storage demand, or memory-interface pull-through.","Exposure is generic software/storage/EDA beta, customer ROI is weak, or revenue timing is one-off.",evidence/batch1/031-SNPS-Synopsys.md,待原文核验: AI chip design mix,估值、客户CapEx周期
26,P2_large_cap_context,optics_connectivity,MRVL,Marvell,D1-D3,Custom silicon + optical DSP + networking,候选池,Mega >100B,93,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",,合理推论+待原文核验: AI revenue mix与客户集中,ASIC项目时点、DSP被LPO/CPO挤压、客户集中
27,P2_large_cap_context,optics_connectivity,AMZN,Amazon,D0-D1,AWS + Trainium + Anthropic,核心beta,Mega >100B,92,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",,原文已证明: Anthropic 5GW agreement线索; 财务拆分待核验,Trainium性能/生态、CapEx回报、AWS margin
28,P2_large_cap_context,optics_connectivity,ANET,Arista Networks,D2,AI Ethernet networking,核心/候选池,Mega >100B,92,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",,待原文核验: AI cluster revenue/backlog,客户集中、Ethernet价格竞争、NVLink/IB替代
29,P2_large_cap_context,ip_storage_eda,CDNS,Cadence,D3,EDA/simulation,核心beta/候选,Mega >100B,92,core_review,"AI ASIC, memory bandwidth, and data pipelines can create value in IP, EDA, and storage layers.","Is the revenue connected to AI chips, HBM/CXL/DDR, enterprise AI storage, or just generic tech spend?",10-K/10-Q; earnings release; investor presentation; product roadmap; customer/design-win commentary.,"Original sources show AI/HPC design wins, royalties, enterprise AI storage demand, or memory-interface pull-through.","Exposure is generic software/storage/EDA beta, customer ROI is weak, or revenue timing is one-off.",,待原文核验,估值、EDA周期、并购监管
30,P2_large_cap_context,optics_connectivity,GOOGL,Alphabet / Google,D0-D1,Gemini + TPU + GCP,核心beta,Mega >100B,92,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",,原文已证明: CapEx/technical infra/TPU线索; 细分客户待核验,TPU硬件销售波动、AI搜索商业化、能耗/折旧
