ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,evidence_state,counterevidence
COHU,Cohu,US,美国资产池,D3,Test handlers / sockets,雷达池,84,core_review,待原文核验,AI相关性弱/周期性
KLA,KLA,US,美国资产池,D3-D4,Inspection/metrology,核心beta/候选,83,core_review,原文需核验: advanced packaging/AI mix,大盘beta、估值已反映
DOCN,DigitalOcean,US,美国资产池,D1-D3,SMB cloud / AI cloud services,雷达池,81,core_review,待原文核验,hyperscaler competition、GPU economics
ORCL,Oracle,US,美国资产池,D1,AI cloud / Stargate cloud capacity,候选池,81,core_review,合理推论+待原文核验: RPO/合同质量/CapEx细节,客户集中、项目融资、电力/许可、毛利率
ETN,Eaton,US,美国资产池,D2-D4,Electrical equipment,核心/候选池,80,core_review,待原文核验: DC mix/backlog,AI占比不透明、周期/估值
CSCO,Cisco,US,美国资产池,D2-D4,Networking + optics + security,候选/雷达池,79,high_priority,待原文核验: AI-specific revenue,增长慢、AI专用度弱、毛利压力
META,Meta Platforms,US,美国资产池,D0-D1,Open-source frontier + AI products + internal infra,核心beta/需求验证,78,high_priority,"待原文核验: AI CapEx, MTIA, infra depreciation",广告ROI、CapEx回报、开源模型成本
NTAP,NetApp,US,美国资产池,D3-D4,Enterprise/data center storage,雷达/候选池,78,high_priority,待原文核验,AI专用度弱
SPXC,SPX Technologies,US,美国资产池,D3-D4,Cooling/HVAC/electrical niches,雷达/候选池,78,high_priority,待原文核验,AI暴露间接
AMD,AMD,US,美国资产池,D1,GPU/CPU AI compute,核心/候选池,77,high_priority,原文需核验: data center / Instinct / EPYC segment metrics,CUDA生态、毛利率、供给链、客户集中
MSFT,Microsoft,US,美国资产池,D0-D1,Azure + OpenAI demand aggregator,核心beta,77,high_priority,"原文需核验: Azure AI contribution, RPO, CapEx, depreciation",AI毛利率、CapEx回报、OpenAI集中、反垄断
NBIS,Nebius,US,美国资产池,D1-D4,NeoCloud / AI cloud,候选池,76,high_priority,待原文核验: revenue/backlog/utilization/debt,融资、客户质量、利用率、GPU残值
POWL,Powell Industries,US,美国资产池,D3-D4,Electrical switchgear,候选池,76,high_priority,待原文核验: DC customer and backlog,周期订单、客户集中、扩产后瓶颈缓解
STX,Seagate,US,美国资产池,D3-D4,Nearline HDD/object storage,雷达/候选池,75,high_priority,待原文核验: AI storage use cases,AI相关性间接、HDD周期
WDC,Western Digital / SanDisk,US,美国资产池,D3-D4,NAND/eSSD/storage,候选/雷达池,75,high_priority,待原文核验: eSSD vs consumer NAND split,传统NAND周期误判、ASP波动
IREN,IREN,US,美国资产池,D1-D4,AI cloud + powered land from crypto mining,候选/雷达池,72,high_priority,待原文核验: AI contracts/utilization/debt,比特币业务混杂、融资、客户质量
APLD,Applied Digital,US,美国资产池,D1-D4,AI data center developer,候选/雷达池,68,high_priority,待原文核验,融资、施工、客户集中
CORZ,Core Scientific,US,美国资产池,D1-D4,AI hosting / power campuses,雷达/候选池,68,high_priority,待原文核验,BTC周期混杂、客户/债务风险
WULF,TeraWulf,US,美国资产池,D1-D4,Powered data center / HPC transition,雷达池,66,high_priority,待原文核验,BTC混杂、融资、执行风险
GEV,GE Vernova,US,美国资产池,D4,Grid + gas turbines,雷达/候选池,58,radar,待原文核验,项目周期长、非AI需求混杂
BE,Bloom Energy,US,美国资产池,D4-D5,On-site power / fuel cells,雷达/候选池,50,radar,"待原文核验: DC contract economics, fuel costs",燃料成本、技术/规模验证、监管
CCJ,Cameco,US,美国资产池,D4-D5,Uranium,雷达池,46,radar,待原文核验,AI相关性间接，商品周期
LEU,Centrus Energy,US,美国资产池,D4-D5,Nuclear fuel / HALEU,雷达池,42,radar,待原文核验: contracts/regulatory milestones,AI链条很间接、监管/项目周期长
