ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,evidence_state,counterevidence
603912.SH,佳力图,A股主板,中国资产池,D3-D4,Data center cooling,雷达池,70,high_priority,待原文核验,AI专用度弱、订单周期
9698.HK / GDS,万国数据 GDS,H股/ADR,中国资产池,D1-D4,IDC / AI data center,候选/雷达池,68,high_priority,待原文核验,融资成本、利用率、客户集中
002028.SZ,思源电气,A股主板,中国资产池,D4,Switchgear/transformer/electrical equipment,候选池,62,radar,待原文核验,非AI需求混杂、订单周期
002902.SZ,铭普光磁,A股主板,中国资产池,D3-D5,Optical/magnetic components,雷达池,62,radar,待原文核验,AI证据弱、低毛利/主题映射
0728.HK / 601728.SH,中国电信,H股/A股,中国资产池,D4,IDC/cloud/network,雷达/候选池,60,radar,待原文核验,AI毛利/资本开支回报
0941.HK / 600941.SH,中国移动,H股/A股,中国资产池,D4,IDC/network/AI infra buyer,雷达/候选池,60,radar,待原文核验,运营商AI收入不清、政策
0981.HK,中芯国际 SMIC,H股,中国资产池,D4,Foundry / China localization,雷达/候选池,60,radar,待原文核验,先进制程限制、AI直接度
600312.SH,平高电气,A股主板,中国资产池,D4,High-voltage equipment,雷达/候选池,60,radar,待原文核验,AI相关性间接
002371.SZ,北方华创,A股主板,中国资产池,D4,Semiconductor equipment,候选/雷达池,58,radar,待原文核验,AI直接度弱、政策/周期
002409.SZ,雅克科技,A股主板,中国资产池,D4,Semiconductor materials,候选/雷达池,58,radar,待原文核验,AI专用度待拆、周期
600406.SH,国电南瑞,A股主板,中国资产池,D4,Grid automation,雷达/候选池,58,radar,待原文核验,AI链条间接、政策周期
601179.SH,中国西电,A股主板,中国资产池,D4,Transformer/switchgear,雷达池,56,radar,待原文核验,AI直接证据弱
1347.HK,华虹半导体,H股,中国资产池,D4,Specialty foundry,雷达池,52,radar,待原文核验,AI直接度弱、成熟制程周期
603690.SH,至纯科技,A股主板,中国资产池,D4,Wet process / high-purity systems,雷达池,52,radar,待原文核验,AI间接、周期
600089.SH,特变电工,A股主板,中国资产池,D4-D5,Transformer/power equipment + energy,雷达池,46,radar,待原文核验,能源/硅料周期混杂、AI间接
300249.SZ,依米康,A股创业板,中国资产池,D3-D4,Cooling/IDC,排除池,0,exclude,产业相关但因创业板排除,板块规则排除+AI证据需核验
300308.SZ,中际旭创,A股创业板,中国资产池,D2-D3,Optical modules,排除池,0,exclude,产业相关但因创业板排除；如用非A通道需另核验,板块规则排除，不进中国A主板池
300394.SZ,天孚通信,A股创业板,中国资产池,D3,Optical components,排除池,0,exclude,产业相关但因创业板排除,板块规则排除
300476.SZ,胜宏科技,A股创业板,中国资产池,D3,PCB,排除池,0,exclude,产业相关但因创业板排除,板块规则排除
300502.SZ,新易盛,A股创业板,中国资产池,D2-D3,Optical modules,排除池,0,exclude,产业相关但因创业板排除,板块规则排除
300666.SZ,江丰电子,A股创业板,中国资产池,D4,Semiconductor materials,排除池,0,exclude,产业相关但因创业板排除,板块规则排除
603986.SH,兆易创新,A股主板,中国资产池,D4-D5,Memory/MCU,排除/雷达池,0,exclude,待原文核验,与LLM infra距离远、消费周期
688008.SH,澜起科技,A股科创板,中国资产池,D3,Memory interface/CXL,排除池,0,exclude,产业相关但因科创板排除,板块规则排除
688012.SH,中微公司,A股科创板,中国资产池,D4,Semiconductor equipment,排除池,0,exclude,产业相关但因科创板排除,板块规则排除
