task_id,priority,theme,region_bucket,seed_ticker,seed_company,market_country,asset_pool,bfs_depth,module,current_pool,source_targets,extraction_keywords,expansion_goal,agent_prompt
DISC-0030,P0_expand_now,hbm_memory_storage,US,PSTG,Pure Storage,US,美国资产池,D3,AI storage systems,候选池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: PSTG Pure Storage. Module: AI storage systems. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0048,P0_expand_now,hbm_memory_storage,US,RMBS,Rambus,US,美国资产池,D3,Memory interface IP,候选池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: RMBS Rambus. Module: Memory interface IP. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0029,P0_expand_now,hbm_memory_storage,US,STX,Seagate,US,美国资产池,D3-D4,Nearline HDD/object storage,雷达/候选池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: STX Seagate. Module: Nearline HDD/object storage. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0023,P0_expand_now,hbm_memory_storage,US,TER,Teradyne,US,美国资产池,D3,Semiconductor ATE,候选池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: TER Teradyne. Module: Semiconductor ATE. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0028,P0_expand_now,hbm_memory_storage,US,WDC,Western Digital / SanDisk,US,美国资产池,D3-D4,NAND/eSSD/storage,候选/雷达池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: WDC Western Digital / SanDisk. Module: NAND/eSSD/storage. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0019,P0_expand_now,networking_fabric,US,AAOI,Applied Optoelectronics,US,美国资产池,D2-D3,Datacom optical modules,候选/雷达池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: AAOI Applied Optoelectronics. Module: Datacom optical modules. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0012,P0_expand_now,networking_fabric,US,ANET,Arista Networks,US,美国资产池,D2,AI Ethernet networking,核心/候选池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: ANET Arista Networks. Module: AI Ethernet networking. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0015,P0_expand_now,networking_fabric,US,CRDO,Credo,US,美国资产池,D3,AEC/SerDes/connectivity,候选池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: CRDO Credo. Module: AEC/SerDes/connectivity. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0013,P0_expand_now,networking_fabric,US,CSCO,Cisco,US,美国资产池,D2-D4,Networking + optics + security,候选/雷达池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: CSCO Cisco. Module: Networking + optics + security. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0016,P0_expand_now,optics_photonics_cpo,US,COHR,Coherent,US,美国资产池,D2-D3,800G/1.6T optics + lasers,候选/核心候选,"annual report, OFC/OCP product pages, 800G/1.6T/CPO qualification, laser capacity disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CPO; LPO; silicon photonics; InP; EML; DFB; external light source,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: COHR Coherent. Module: 800G/1.6T optics + lasers. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0018,P0_expand_now,optics_photonics_cpo,US,FN,Fabrinet,US,美国资产池,D2-D3,Optical manufacturing,候选池,"annual report, OFC/OCP product pages, 800G/1.6T/CPO qualification, laser capacity disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CPO; LPO; silicon photonics; InP; EML; DFB; external light source,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: FN Fabrinet. Module: Optical manufacturing. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0017,P0_expand_now,optics_photonics_cpo,US,LITE,Lumentum,US,美国资产池,D2-D3,Lasers/datacom optics,候选池,"annual report, OFC/OCP product pages, 800G/1.6T/CPO qualification, laser capacity disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CPO; LPO; silicon photonics; InP; EML; DFB; external light source,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: LITE Lumentum. Module: Lasers/datacom optics. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0020,P0_expand_now,optics_photonics_cpo,US,MTSI,MACOM,US,美国资产池,D3,RF/photonic components,候选池,"annual report, OFC/OCP product pages, 800G/1.6T/CPO qualification, laser capacity disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CPO; LPO; silicon photonics; InP; EML; DFB; external light source,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: MTSI MACOM. Module: RF/photonic components. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0021,P0_expand_now,optics_photonics_cpo,US,SMTC,Semtech,US,美国资产池,D3,Signal integrity / optical DSP adjacent,雷达/候选池,"annual report, OFC/OCP product pages, 800G/1.6T/CPO qualification, laser capacity disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CPO; LPO; silicon photonics; InP; EML; DFB; external light source,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: SMTC Semtech. Module: Signal integrity / optical DSP adjacent. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0047,P0_expand_now,other,US,CDNS,Cadence,US,美国资产池,D3,EDA/simulation,核心beta/候选,"annual report, quarterly results, investor presentation, official product and customer pages",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: CDNS Cadence. Module: EDA/simulation. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
